epoch,accuracy,loss,val_accuracy,val_loss
0,0.3650705814361572,1.3318657875061035,0.39193084836006165,1.2964266538619995
1,0.6531968116760254,1.0047385692596436,0.6570605039596558,0.9552403092384338
2,0.7835593819618225,0.5900009870529175,0.7060518860816956,0.7738322019577026
3,0.8433434963226318,0.41535457968711853,0.7146974205970764,0.7940897941589355
4,0.8843066692352295,0.3313794434070587,0.7089337110519409,0.7811984419822693
5,0.9103238582611084,0.2723270356655121,0.6945244669914246,0.8526132702827454
6,0.9225021004676819,0.23213285207748413,0.6714697480201721,0.8887436389923096
7,0.9424301385879517,0.1898534744977951,0.7089337110519409,0.9177312254905701
8,0.9487960338592529,0.16142405569553375,0.6974063515663147,0.9869427680969238
9,0.9582064747810364,0.14563918113708496,0.7175792455673218,1.0304745435714722
10,0.9637420177459717,0.12358040362596512,0.6829971075057983,1.102522373199463
11,0.9695543646812439,0.10875853151082993,0.6772334575653076,1.1381874084472656
12,0.9701079726219177,0.10503595322370529,0.6945244669914246,1.1659013032913208
13,0.973429262638092,0.09281425178050995,0.6945244669914246,1.2340444326400757
14,0.975643515586853,0.08875972032546997,0.6916426420211792,1.2530243396759033
15,0.9748131632804871,0.0852423757314682,0.6887608170509338,1.3257941007614136
16,0.9759202599525452,0.07780244201421738,0.7002881765365601,1.3230876922607422
17,0.976473867893219,0.0821908488869667,0.6887608170509338,1.3568120002746582
18,0.975643515586853,0.07369741052389145,0.6916426420211792,1.3811442852020264
19,0.9767506122589111,0.07933568209409714,0.7031700015068054,1.3628243207931519
20,0.9773041605949402,0.06902291625738144,0.6916426420211792,1.42524254322052
21,0.9761970639228821,0.06919394433498383,0.6945244669914246,1.4797676801681519
22,0.9759202599525452,0.07036793231964111,0.6887608170509338,1.505118727684021
23,0.9781345129013062,0.06594695895910263,0.6858789920806885,1.461829423904419
24,0.9789648652076721,0.06585028767585754,0.680115282535553,1.5060477256774902
